Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12621,2022-08-09,0.1840825203,0.1290295352,0.1385909926,21,100
Market-Adjusted Model,12622,2022-08-09,0.0585007032,0.0134406139,0.0130091755,21,100
Market-Adjusted Model,12623,2022-08-09,0.1213790329,0.0702906485,0.0758875052,21,100
Market-Adjusted Model,12625,2022-08-09,0.0379922829,-0.008345601,-0.007499245,21,100
Market-Adjusted Model,12628,2022-08-09,-0.055232532,-0.101710169,-0.100724059,21,100
Market-Adjusted Model,12629,2022-08-09,-0.24813432,-0.313446541,-0.293625848,21,100
Market-Adjusted Model,12631,2022-08-09,0.0051823128,-0.040818332,-0.040309215,21,100
Market-Adjusted Model,12633,2022-08-09,0.0015957802,-0.043906635,-0.043895747,21,100
Market-Adjusted Model,12641,2022-08-09,0.0772532393,0.0321033135,0.0317617117,21,100
Market-Adjusted Model,12644,2022-08-09,0.3909182349,0.2976929139,0.3454267072,21,100
Market-Adjusted Model,12646,2022-08-09,0.0136328527,-0.028586923,-0.031858675,21,100
Market-Adjusted Model,12647,2022-08-09,-0.012101886,-0.056381007,-0.057593414,21,100
Market-Adjusted Model,12648,2022-08-09,0.0988871935,0.0505983377,0.0533956658,21,100
Market-Adjusted Model,12649,2022-08-09,0.1692732777,0.113509254,0.12378175,21,100
Market-Adjusted Model,12651,2022-08-09,0.0065052144,-0.038042325,-0.038986313,21,100
Market-Adjusted Model,12652,2022-08-09,0.031799653,-0.012162851,-0.013691875,21,100
Market-Adjusted Model,12654,2022-08-09,0.0141548768,-0.030612615,-0.031336651,21,100
Market-Adjusted Model,12655,2022-08-09,0.0352460336,-0.010560511,-0.010245494,21,100
Market-Adjusted Model,12656,2022-08-09,0.0501755221,0.0045024546,0.0046839944,21,100
Market-Adjusted Model,12657,2022-08-09,0.0414339525,-0.003446609,-0.004057575,21,100
Market-Adjusted Model,12658,2022-08-09,0.0750348443,0.0285036932,0.0295433166,21,100
Market-Adjusted Model,12659,2022-08-09,0.03401965,-0.010514014,-0.011471878,21,100
Market-Adjusted Model,12662,2022-08-09,-0.019298186,-0.064778435,-0.064789714,21,100
Market-Adjusted Model,12666,2022-08-09,0.0096293373,-0.036516229,-0.03586219,21,100
Market-Adjusted Model,12672,2022-08-09,0.0185045224,-0.027355865,-0.026987005,21,100
Market-Adjusted Model,12673,2022-08-09,-0.008841071,-0.052525234,-0.054332599,21,100
Market-Adjusted Model,12675,2022-08-09,-0.008592567,-0.054302144,-0.054084095,21,100
